Gene	A_vs_B-FC	A_vs_B-p	A_vs_B-FDR	C_vs_B-FC	C_vs_B-p	C_vs_B-FDR	C_vs_D-FC	C_vs_D-p	C_vs_D-FDR	C_vs_E-FC	C_vs_E-p	C_vs_E-FDR
Gm24823	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24824	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24825	0.95	0.3	0.4	0.65	0.74	0.9	-0.3	0.81	0.84	-1.3	0.27	0.63
Gm24826	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24827	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24828	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24829	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24830	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24831	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24832	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24833	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24834	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24835	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24836	-1	0.43	0.53	-0.04	0.86	0.9	0.06	0.77	0.8	1.1	0.31	0.67
Gm24837	2.4	0.067	0.12	-1.6	0.0034	0.072	1.5	0.005	0.04	-0.89	0.24	0.57
Gm24838	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24839	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24840	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24841	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24842	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24843	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24844	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24845	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24846	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24847	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24848	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24849	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24850	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24851	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24852	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24853	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24854	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24855	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24856	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24857	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24858	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24859	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24860	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24861	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24862	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24863	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24864	0.16	0.002	0.0048	1.1	0.33	0.84	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24865	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24866	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24867	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24868	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24869	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24870	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24871	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24872	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24873	-0.63	0.46	0.55	0.75	0.35	0.87	0.06	0.77	0.8	0.69	0.34	0.68
Gm24874	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24875	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24876	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24877	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24878	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24879	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24880	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24881	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24882	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24883	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24884	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24885	0.16	0.002	0.0048	0.75	0.3	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24886	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24887	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24888	0.83	0.11	0.18	-0.3	0.76	0.9	0.89	0.15	0.43	0.05	0.93	0.94
Gm24889	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24890	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24891	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24892	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24893	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24894	-1	0.31	0.41	3	0.013	0.14	0.85	0.26	0.59	1.8	0.0082	0.047
Gm24895	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24896	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24897	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
Gm24898	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24899	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24900	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24901	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24902	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24903	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24904	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24905	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24906	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24907	-0.63	0.46	0.55	0.75	0.3	0.82	0.06	0.77	0.8	0.69	0.34	0.68
Gm24908	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24909	2.1	0.015	0.032	-0.04	0.86	0.9	2	0.0065	0.046	-0.1	0.64	0.68
Gm24910	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24911	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24912	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24913	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24914	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24915	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24916	-0.67	0.67	0.74	-0.5	0.37	0.9	-0.82	0.48	0.8	-0.15	0.86	0.88
Gm24917	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24918	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24919	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24920	0.16	0.002	0.0048	-1.2	0.31	0.83	-1.1	0.34	0.72	-1.3	0.27	0.63
Gm24921	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24922	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24923	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24924	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24925	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24926	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24927	0.95	0.3	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
Gm24928	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24929	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24930	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24931	0.16	0.89	0.91	-0.04	0.86	0.9	0.85	0.26	0.59	0.69	0.34	0.68
Gm24932	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24933	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24934	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24935	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24936	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24937	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24938	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24939	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24940	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24941	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24942	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24943	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24944	1.3	0.31	0.41	-0.04	0.86	0.9	1.2	0.26	0.59	-0.1	0.64	0.68
Gm24945	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24946	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24947	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24948	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24949	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24950	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24951	-0.65	0.45	0.54	0.47	0.44	0.9	0.05	0.95	0.96	0.7	0.29	0.65
Gm24952	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24953	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24954	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24955	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24956	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24957	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24958	-1.7	0.34	0.45	0.75	0.61	0.9	0.85	0.56	0.8	2.5	0.016	0.074
Gm24959	-0.63	0.73	0.79	-0.04	0.86	0.9	0.85	0.26	0.59	1.5	0.29	0.66
Gm24960	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24961	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24962	0.16	0.002	0.0048	1.1	0.29	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24963	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24964	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24965	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24966	0.16	0.002	0.0048	1.4	0.28	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24967	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24968	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24969	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24970	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24971	0.16	0.002	0.0048	1.1	0.29	0.82	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24972	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24973	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24974	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24975	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24976	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24977	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24978	0.16	0.002	0.0048	-1.6	0.0034	0.072	-1.5	0.0024	0.027	-1.7	0.0018	0.02
Gm24979	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24980	-0.78	0.68	0.75	-1.6	0.31	0.83	-1.7	0.26	0.59	-0.89	0.31	0.67
Gm24981	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24982	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24983	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24984	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24985	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24986	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24987	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24988	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24989	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24990	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24991	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24992	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24993	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24994	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24995	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24996	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24997	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24998	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm24999	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25000	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25001	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25002	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25003	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25004	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25005	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25006	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25007	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25008	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25009	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25010	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25011	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25012	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25013	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25014	0.95	0.29	0.4	1.4	0.28	0.82	0.85	0.26	0.59	-0.1	0.64	0.68
Gm25015	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25016	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25017	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25019	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25020	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25021	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25022	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25023	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25024	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25025	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25026	-1.8	0.021	0.045	0.75	0.3	0.82	0.06	0.77	0.8	1.8	0.0078	0.046
Gm25027	0.16	0.002	0.0048	-1.5	0.24	0.77	-1.4	0.26	0.59	-1.5	0.22	0.53
Gm25028	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25029	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25030	-0.63	0.46	0.55	-0.04	0.86	0.9	0.06	0.77	0.8	0.69	0.34	0.68
Gm25031	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25032	0.16	0.002	0.0048	0.75	0.35	0.87	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25033	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25034	1.8	5.8e-06	0.0016	-1.2	0.31	0.83	0.49	0.65	0.8	-1.3	0.27	0.63
Gm25035	0.95	0.3	0.4	-0.04	0.86	0.9	0.85	0.26	0.59	-0.1	0.64	0.68
Gm25036	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25037	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25038	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25039	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25040	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25041	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25042	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25043	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25044	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25045	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25046	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25047	0.43	0.75	0.81	-1.6	0.34	0.86	-0.54	0.59	0.8	-0.98	0.27	0.63
Gm25048	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25049	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25050	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25051	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25052	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25053	0.77	0.64	0.71	-1.8	0.25	0.78	-0.27	0.88	0.9	-1	0.5	0.68
Gm25054	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25055	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25056	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25057	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25058	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25059	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25060	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25061	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25062	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25063	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25064	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25065	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
Gm25066	0.16	0.002	0.0048	-0.04	0.86	0.9	0.06	0.77	0.8	-0.1	0.64	0.68
